Study Name	IronIrradiated_Fe3plus
Sample Name	2022-01-04
Run Name	baseline
Operator	Angus
Date	1/4/2022
Time	12:30
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:30:57
	
Time	Amplitude
2.360000E-8	-1.713098E-5
2.365000E-8	-2.226983E-5
2.370000E-8	-5.138999E-5
2.375000E-8	-9.763964E-5
2.380000E-8	-1.644447E-4
2.385000E-8	-2.894900E-4
2.390000E-8	-3.819893E-4
2.395000E-8	-4.813404E-4
2.400000E-8	-5.241642E-4
2.405000E-8	-5.943952E-4
2.410000E-8	-5.858304E-4
2.415000E-8	-5.669880E-4
2.420000E-8	-5.310160E-4
2.425000E-8	-4.590721E-4
2.430000E-8	-3.597210E-4
2.435000E-8	-2.980548E-4
2.440000E-8	-2.175461E-4
2.445000E-8	-1.867130E-4
2.450000E-8	-1.764353E-4
2.455000E-8	-1.730094E-4
2.460000E-8	-2.089814E-4
2.465000E-8	-2.603699E-4
2.470000E-8	-3.100454E-4
2.475000E-8	-3.785634E-4
2.480000E-8	-4.539332E-4
2.485000E-8	-5.173124E-4
2.490000E-8	-5.858304E-4
2.495000E-8	-6.372189E-4
2.500000E-8	-6.543484E-4
2.505000E-8	-6.320801E-4
2.510000E-8	-6.046729E-4
2.515000E-8	-5.293030E-4
2.520000E-8	-4.556462E-4
2.525000E-8	-3.819893E-4
2.530000E-8	-3.134713E-4
2.535000E-8	-2.569440E-4
2.540000E-8	-2.586569E-4
2.545000E-8	-2.415274E-4
2.550000E-8	-2.021296E-4
2.555000E-8	-2.329627E-4
2.560000E-8	-2.860641E-4
2.565000E-8	-3.648598E-4
2.570000E-8	-4.402296E-4
2.575000E-8	-5.430067E-4
2.580000E-8	-6.320801E-4
2.585000E-8	-7.656902E-4
2.590000E-8	-8.718931E-4
2.595000E-8	-9.746701E-4
2.600000E-8	-1.075734E-3
2.605000E-8	-1.108280E-3
2.610000E-8	-1.094577E-3
2.615000E-8	-1.077447E-3
2.620000E-8	-1.041475E-3
2.625000E-8	-9.866607E-4
2.630000E-8	-9.181427E-4
2.635000E-8	-8.479118E-4
2.640000E-8	-7.485607E-4
2.645000E-8	-6.731909E-4
2.650000E-8	-6.098117E-4
2.655000E-8	-5.224512E-4
2.660000E-8	-4.436555E-4
2.665000E-8	-3.854152E-4
2.670000E-8	-3.511562E-4
2.675000E-8	-3.323138E-4
2.680000E-8	-3.049066E-4
2.685000E-8	-3.443044E-4
2.690000E-8	-3.939800E-4
2.695000E-8	-4.659239E-4
2.700000E-8	-5.669880E-4
2.705000E-8	-6.543484E-4
2.710000E-8	-7.297182E-4
2.715000E-8	-7.965233E-4
2.720000E-8	-8.718931E-4
2.725000E-8	-8.924485E-4
2.730000E-8	-9.164298E-4
2.735000E-8	-9.592535E-4
2.740000E-8	-1.022633E-3
2.745000E-8	-1.108280E-3
2.750000E-8	-1.168233E-3
2.755000E-8	-1.229900E-3
2.760000E-8	-1.259020E-3
2.765000E-8	-1.318973E-3
2.770000E-8	-1.370362E-3
2.775000E-8	-1.406333E-3
2.780000E-8	-1.449157E-3
2.785000E-8	-1.461148E-3
2.790000E-8	-1.449157E-3
2.795000E-8	-1.387491E-3
2.800000E-8	-1.279575E-3
2.805000E-8	-1.168233E-3
2.810000E-8	-1.055179E-3
2.815000E-8	-9.421240E-4
2.820000E-8	-8.342082E-4
2.825000E-8	-7.297182E-4
2.830000E-8	-6.492096E-4
2.835000E-8	-5.892563E-4
2.840000E-8	-5.738398E-4
2.845000E-8	-5.412937E-4
2.850000E-8	-5.310160E-4
2.855000E-8	-5.361549E-4
2.860000E-8	-5.412937E-4
2.865000E-8	-5.584232E-4
2.870000E-8	-5.652750E-4
2.875000E-8	-5.687009E-4
2.880000E-8	-5.618491E-4
2.885000E-8	-5.464326E-4
2.890000E-8	-5.327290E-4
2.895000E-8	-5.173124E-4
2.900000E-8	-5.327290E-4
2.905000E-8	-5.635621E-4
2.910000E-8	-6.080988E-4
2.915000E-8	-6.423578E-4
2.920000E-8	-6.629132E-4
2.925000E-8	-7.057369E-4
2.930000E-8	-7.262923E-4
2.935000E-8	-7.605513E-4
2.940000E-8	-7.519866E-4
2.945000E-8	-7.314312E-4
2.950000E-8	-7.245794E-4
2.955000E-8	-6.612002E-4
2.960000E-8	-5.652750E-4
2.965000E-8	-4.556462E-4
2.970000E-8	-3.340267E-4
2.975000E-8	-2.346756E-4
2.980000E-8	-8.564899E-5
2.985000E-8	5.652587E-5
2.990000E-8	2.055525E-4
2.995000E-8	3.237461E-4
3.000000E-8	4.230972E-4
3.005000E-8	4.796245E-4
3.010000E-8	5.498555E-4
3.015000E-8	5.378648E-4
3.020000E-8	5.190224E-4
3.025000E-8	5.001799E-4
3.030000E-8	4.642080E-4
3.035000E-8	4.025418E-4
3.040000E-8	3.597180E-4
3.045000E-8	3.100425E-4
3.050000E-8	2.792094E-4
3.055000E-8	2.757835E-4
3.060000E-8	2.860612E-4
3.065000E-8	3.357367E-4
3.070000E-8	3.631439E-4
3.075000E-8	4.248101E-4
3.080000E-8	4.659209E-4
3.085000E-8	4.967540E-4
3.090000E-8	5.121706E-4
3.095000E-8	4.761986E-4
3.100000E-8	4.624950E-4
3.105000E-8	4.539303E-4
3.110000E-8	4.316619E-4
3.115000E-8	4.042547E-4
3.120000E-8	3.597180E-4
3.125000E-8	2.843482E-4
3.130000E-8	2.055525E-4
3.135000E-8	1.627288E-4
3.140000E-8	5.138702E-5
3.145000E-8	-7.537129E-5
3.150000E-8	-1.712965E-4
3.155000E-8	-2.637958E-4
3.160000E-8	-3.391656E-4
3.165000E-8	-4.128224E-4
3.170000E-8	-4.779145E-4
3.175000E-8	-5.430067E-4
3.180000E-8	-5.978211E-4
3.185000E-8	-6.200894E-4
3.190000E-8	-6.372189E-4
3.195000E-8	-6.731909E-4
3.200000E-8	-7.228664E-4
3.205000E-8	-7.588384E-4
3.210000E-8	-7.999492E-4
3.215000E-8	-8.564765E-4
3.220000E-8	-8.650413E-4
3.225000E-8	-8.958744E-4
3.230000E-8	-8.599024E-4
3.235000E-8	-8.547636E-4
3.240000E-8	-8.170787E-4
3.245000E-8	-7.691161E-4
3.250000E-8	-7.297182E-4
3.255000E-8	-6.903204E-4
3.260000E-8	-6.937463E-4
3.265000E-8	-6.800427E-4
3.270000E-8	-7.160146E-4
3.275000E-8	-7.811067E-4
3.280000E-8	-8.633283E-4
3.285000E-8	-9.866607E-4
3.290000E-8	-1.106567E-3
3.295000E-8	-1.240177E-3
3.300000E-8	-1.317260E-3
3.305000E-8	-1.365223E-3
3.310000E-8	-1.373787E-3
3.315000E-8	-1.372074E-3
3.320000E-8	-1.363510E-3
3.325000E-8	-1.279575E-3
3.330000E-8	-1.224761E-3
3.335000E-8	-1.154530E-3
3.340000E-8	-1.087725E-3
3.345000E-8	-1.027772E-3
3.350000E-8	-1.008929E-3
3.355000E-8	-1.020920E-3
3.360000E-8	-1.053466E-3
3.365000E-8	-1.092864E-3
3.370000E-8	-1.137400E-3
3.375000E-8	-1.169946E-3
3.380000E-8	-1.209344E-3
3.385000E-8	-1.223048E-3
3.390000E-8	-1.163095E-3
3.395000E-8	-1.121984E-3
3.400000E-8	-1.053466E-3
3.405000E-8	-9.746701E-4
3.410000E-8	-8.633283E-4
3.415000E-8	-7.879585E-4
3.420000E-8	-6.886074E-4
3.425000E-8	-6.200894E-4
3.430000E-8	-5.430067E-4
3.435000E-8	-4.984699E-4
3.440000E-8	-4.453685E-4
3.445000E-8	-3.871282E-4
3.450000E-8	-3.271749E-4
3.455000E-8	-2.466663E-4
3.460000E-8	-1.575929E-4
3.465000E-8	-5.481589E-5
3.470000E-8	1.010626E-4
3.475000E-8	2.466633E-4
3.480000E-8	3.905511E-4
3.485000E-8	5.258742E-4
3.490000E-8	6.663361E-4
3.495000E-8	7.999462E-4
3.500000E-8	9.130009E-4
3.505000E-8	9.712412E-4
3.510000E-8	9.780930E-4
3.515000E-8	9.249915E-4
3.520000E-8	8.684642E-4
3.525000E-8	7.040210E-4
3.530000E-8	5.104576E-4
3.535000E-8	3.203202E-4
3.540000E-8	1.421734E-4
3.545000E-8	-5.481589E-5
